游戏名称,上架平台,游戏类型,上架时间,开发者,备注,访问链接
不用网脑洞闯关,手机(平板可下载),休闲益智,2025/08/19,深圳市森灵游科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sly.bywndcghap.huawei
刮鱼鳞高手,手机(平板可下载),休闲益智,2025/08/19,深圳市森灵游科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sly.gylgshap.huawei
喵喵心动小镇,手机(平板可下载),休闲益智,2025/08/19,厦门叶秋原网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.mmxd.huawei
儿童萌宠乐园,手机(平板可下载),经营策略,2025/08/19,厦门叶秋原网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.mcly.huawei
歪头娃娃换装,手机(平板可下载),休闲益智,2025/08/19,厦门叶秋原网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.wtwawa.huawei
奇妙宠物店,手机(平板可下载),经营策略,2025/08/19,厦门叶秋原网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.qmcwd.huawei
秦皇回家,手机(平板可下载),休闲益智,2025/08/19,深圳市鸿鑫网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.qhhjhap.huawei
烧脑连一连,手机(平板可下载),休闲益智,2025/08/19,深圳市鸿鑫网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.snlylhap.huawei
帮小姐姐做护理,手机(平板可下载),休闲益智,2025/08/19,深圳市鸿鑫网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.bxjjzhlhap.huawei
突围达人,手机(平板可下载),休闲益智,2025/08/19,广州市嘉腾科技信息有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.twdr.hm.huawei
疗愈工坊,手机(平板可下载),休闲益智,2025/08/19,广州市嘉腾科技信息有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.lygf.hm.huawei
密道逃生记,手机(平板可下载),休闲益智,2025/08/19,广州市嘉腾科技信息有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.mdtsj.hm.huawei
歪歪公主换装,手机(平板可下载),休闲益智,2025/08/19,厦门梅普露网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.wwgzhz.huawei&channelId=SHARE
奇妙猫猫世界,手机(平板可下载),休闲益智,2025/08/19,厦门梅普露网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.qmmmsj.huawei&channelId=SHARE
小小甜点师,手机(平板可下载),休闲益智,2025/08/19,厦门梅普露网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.xxtds.huawei&channelId=SHARE
冰雪城堡世界,手机和平板,休闲益智,2025/08/19,厦门喵千层科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.bingxuesj.huawei&channelId=SHARE
躲猫猫生存,手机(平板可下载),休闲益智,2025/08/19,深圳市时间坊贸易有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sjf.dmmsc.app.huawei&channelId=SHARE
帮她报恩,手机(平板可下载),休闲益智,2025/08/19,深圳市时间坊贸易有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sjf.btbe.app.huawei&channelId=SHARE
部落短跑,手机(平板可下载),动作射击,2025/08/19,南京山羊软件技术有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.bldp.hap.huawei&channelId=SHARE
火柴人复仇战,手机(平板可下载),动作射击,2025/08/19,南京山羊软件技术有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.hcrfzz.hap.huawei&channelId=SHARE
小球劈砖,手机(平板可下载),休闲益智,2025/08/19,南京山羊软件技术有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.xqpz.hap.huawei&channelId=SHARE
坦克堡垒战,手机(平板可下载),动作射击,2025/08/19,南京山羊软件技术有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.tkblz.huawei&channelId=SHARE
经典纸牌挑战,手机(平板可下载),棋牌桌游,2025/08/19,南京山羊软件技术有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.jdzptz.hap.huawei&channelId=SHARE
小刀刮鱼鳞,手机(平板可下载),休闲益智,2025/08/19,青岛发掘者网络技术有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.fjz.xdgyl.app.huawei&channelId=SHARE
樱花高校跑酷,手机(平板可下载),休闲益智,2025/08/19,石家庄市高兴网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.flhy.yinghuagaoxiaopaoku.huawei&channelId=SHARE
移动消除传奇,手机(平板可下载),休闲益智,2025/08/19,厦门有橘子网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.ydxccq.huawei&channelId=SHARE
一笔画通关,手机(平板可下载),休闲益智,2025/08/19,厦门有橘子网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.ybhtg.huawei&channelId=SHARE
甜蜜配对,手机(平板可下载),休闲益智,2025/08/19,南京爱拉风软件有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.tmpd.hap.huawei&channelId=SHARE
甜蜜糖果消除,手机(平板可下载),休闲益智,2025/08/19,南京爱拉风软件有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.tmtgxc.hap.huawei&channelId=SHARE
呆萌消消消,手机(平板可下载),休闲益智,2025/08/19,南京爱拉风软件有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.dmxxx.hap.huawei&channelId=SHARE
点球传奇,手机(平板可下载),体育竞速,2025/08/19,南京兄游信息科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.dqcq.hap.huawei&channelId=SHARE
不可能的挑战,手机(平板可下载),休闲益智,2025/08/19,南京兄游信息科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.bkndtz.hap.huawei&channelId=SHARE
疯狂足球杯,手机(平板可下载),体育竞速,2025/08/19,南京兄游信息科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.fkzqbb.huawei&channelId=SHARE
翻滚火柴人 2,手机(平板可下载),动作射击,2025/08/19,南京兄游信息科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.fghcr2.hap.huawei&channelId=SHARE
全民来消消,手机(平板可下载),休闲益智,2025/08/18,厦门有橘子网络科技有限公司,08/21新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.qmlxx.huawei&channelId=SHARE
混淆的谜题,手机(平板可下载),休闲益智,2025/08/18,南京兄游信息科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.hxdmt.hap.huawei&channelId=SHARE
飞刀投掷手,手机(平板可下载),休闲益智,2025/08/18,南京爱拉风软件有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.fdtzs.hap.huawei&channelId=SHARE
水排序大师,手机(平板可下载),休闲益智,2025/08/18,株洲市趣点科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.qd.spxds.hap.huawei&channelId=SHARE
百变俄罗斯方块,手机(平板可下载),休闲益智,2025/08/18,长沙乐之游科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lzy.bbels.hap.huawei&channelId=SHARE
永恒纪元,手机和平板,角色扮演,2025/08/18,安徽三七网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ahsq.yhjy.sysqharmony
展示高智商,手机(平板可下载),休闲益智,2025/08/18,深圳市时间坊贸易有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sjf.zsgzs.app.huawei&channelId=SHARE
武林大侠割草,手机(平板可下载),休闲益智,2025/08/18,深圳市时间坊贸易有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sjf.wldxgc.app.huawei&channelId=SHARE
采矿工厂大亨,手机和平板,休闲益智,2025/08/18,厦门很稳网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hw.ckgcdh.hm.huawei
库洛米安静书,手机(平板可下载),休闲益智,2025/08/18,深圳腾逸科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ty.klmajs.app.huawei
听声猜角色,手机(平板可下载),休闲益智,2025/08/18,深圳腾逸科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ty.tscjs.app.huawei
找出所有山海经,手机(平板可下载),休闲益智,2025/08/18,深圳腾逸科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ty.zcsyshj.app.huawei
帮她挑战成功,手机(平板可下载),休闲益智,2025/08/18,深圳市指点天下科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zdtx.bttzcg.app.huawei
让子弹掉落,手机(平板可下载),休闲益智,2025/08/18,深圳市指点天下科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zdtx.rzddl.app.huawei
跟我冲关吧,手机(平板可下载),休闲益智,2025/08/18,深圳鸿兴数字网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hmhxshuz1.huawei
行走边缘,手机和平板,休闲益智,2025/08/18,厦门市冰天信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.xzby.huawei
钓鱼大师模拟器,手机和平板,休闲益智,2025/08/18,厦门市冰天信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.dydsmnq.huawei
合成很简单,手机(平板可下载),休闲益智,2025/08/18,厦门有橘子网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.hchjd.huawei
挪车我贼溜,手机(平板可下载),休闲益智,2025/08/18,厦门有橘子网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.ncwzl.huawei
AI山海经修复,手机(平板可下载),休闲益智,2025/08/18,深圳市掌上方舟科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zsfz.aishjxf.hm.huawei
魔童报恩,手机(平板可下载),休闲益智,2025/08/18,深圳市掌上方舟科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zsfz.mtbe.hm.huawei
躲猫猫隐藏点,手机(平板可下载),休闲益智,2025/08/18,深圳市掌上方舟科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zsfz.dmmycd.hm.huawei
樱花小镇家园,手机(平板可下载),休闲益智,2025/08/18,厦门梅普露网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.yhxzjy.huawei
口袋神器,手机(平板可下载),休闲益智,2025/08/18,广州市嘉腾科技信息有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.kdsq.hm.huawei
旅猫海底城堡乐园,手机和平板,休闲益智,2025/08/18,厦门喵千层科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.lvmaohdi.huawei
翡翠大作战,手机(平板可下载),休闲益智,2025/08/17,长沙齐游网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.qy.fcdzz.hap.huawei&channelId=SHARE
西瓜大合成,手机(平板可下载),休闲益智,2025/08/17,长沙齐游网络科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.qy.xgdhc.hap.huawei&channelId=SHARE
趣味连线,手机(平板可下载),休闲益智,2025/08/17,株洲市趣点科技有限公司,08/20新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.qd.qwlx.hap.huawei&channelId=SHARE
精英枪战,手机(平板可下载),动作射击,2025/08/17,南京山羊软件技术有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.jyqz.hap.huawei
保卫之战,手机(平板可下载),经营策略,2025/08/17,南京爱拉风软件有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.bwzz.hap.huawei
箭之守卫,手机(平板可下载),经营策略,2025/08/17,南京爱拉风软件有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.jzsw.hap.huawei
导弹躲避机,手机(平板可下载),动作射击,2025/08/17,南京爱拉风软件有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.ddbbj.hap.huawei
模拟经营杂货铺,手机和平板,休闲益智,2025/08/17,厦门准确科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmzqhm.mnjyzhp.huawei
绝地机甲战斗,手机和平板,休闲益智,2025/08/17,厦门准确科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmzqhm.jdjjzd.huawei
揍扁木偶人,手机和平板,休闲益智,2025/08/17,厦门准确科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmzqhm.zbmor.huawei
毁灭布娃娃,手机和平板,休闲益智,2025/08/17,厦门准确科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmzqhm.hmbww.huawei
笨猫救援,手机(平板可下载),休闲益智,2025/08/16,南京山羊软件技术有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.bmjy.hap.huawei
樱花校园公主换装梦,手机和平板,休闲益智,2025/08/16,厦门市冰天信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.yhxygzhzm.huawei
火柴人斗争,手机和平板,休闲益智,2025/08/16,厦门市冰天信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.hcrdz.huawei
一起躲猫猫,手机(平板可下载),休闲益智,2025/08/16,广州琛泰科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.yqdmm.hm.huawei
疯狂制造,手机(平板可下载),休闲益智,2025/08/16,广州琛泰科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.fkzz.hm.huawei
上帝也疯狂,手机(平板可下载),休闲益智,2025/08/16,广州琛泰科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.sdyfk.hm.huawei
料理达人,手机(平板可下载),休闲益智,2025/08/16,广州琛泰科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.lldr.hm.huawei
越狱爬酷,手机(平板可下载),休闲益智,2025/08/16,南京兄游信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.yypk.hap.huawei
爆破气球,手机(平板可下载),休闲益智,2025/08/16,南京兄游信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.bpqq.huawei
钓鱼大赛,手机(平板可下载),休闲益智,2025/08/16,南京爱拉风软件有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.dyds.hap.huawei
堡垒防御战,手机(平板可下载),经营策略,2025/08/16,南京爱拉风软件有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.blyfz.hap.huawei
玩梗大闯关,手机(平板可下载),休闲益智,2025/08/16,深圳乐乐无限科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.llwx.wgdcghap.huawei
巧手魔法安静书,手机(平板可下载),经营策略,2025/08/16,厦门有橘子网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.qsmfajs.huawei
露露学校,手机(平板可下载),休闲益智,2025/08/16,厦门有橘子网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.luluxx.huawei
改装车大乱斗,手机(平板可下载),休闲益智,2025/08/16,厦门有橘子网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.gzcdld.huawei
谎言魔镜,手机(平板可下载),经营策略,2025/08/16,厦门有橘子网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.hymj.huawei
足球杯对决,手机(平板可下载),休闲益智,2025/08/16,南京米豆游信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.zqbdjj.huawei
答题吧安静书,手机(平板可下载),休闲益智,2025/08/16,深圳市掌上方舟科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zsfz.dtbajs.hm.huawei
魔法少女裁缝店,手机(平板可下载),休闲益智,2025/08/16,厦门梅普露网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.mfsncfd.huawei
经典切水果大作战,手机(平板可下载),休闲益智,2025/08/16,长沙乐之游科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lzy.jdqsg.hap.huawei
拯救一家三口,手机(平板可下载),休闲益智,2025/08/16,长沙乐之游科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lzy.zjyjsk.hap.huawei
消除我最六,手机(平板可下载),休闲益智,2025/08/16,长沙乐之游科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lzy.xcwz6.hap.huawei
一飞冲天的猪仔,手机(平板可下载),休闲益智,2025/08/16,长沙乐之游科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lzy.skypig.hap.huawei
拆螺丝大挑战,手机(平板可下载),休闲益智,2025/08/16,株洲花与叶网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hyy.clstdz.hap.huawei
消灭星星乐,手机(平板可下载),休闲益智,2025/08/16,株洲花与叶网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hyy.xmxxl.hap.huawei
六角消除单机游戏,手机(平板可下载),休闲益智,2025/08/16,株洲花与叶网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hyy.ljxc.hap.huawei
迷你战舰,手机(平板可下载),休闲益智,2025/08/16,广州市嘉腾科技信息有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.mmzj.hm.huawei
小萌宠大探险,手机(平板可下载),休闲益智,2025/08/16,广州市嘉腾科技信息有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.xmcdtx.hm.huawei
智商不在线,手机(平板可下载),休闲益智,2025/08/16,广州市嘉腾科技信息有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.zsbzx.hm.huawei
地铁逃生模拟,手机和平板,动作射击,2025/08/16,厦门准确科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmzqhm.dttsmn.huawei
AI山海经模拟器,手机和平板,休闲益智,2025/08/16,厦门准确科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmzqhm.AIshjmnq.huawei
西游冒险记,手机和平板,角色扮演,2025/08/16,厦门准确科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmzqhm.xymxj.huawei
鸭鸭奇遇记,手机(平板可下载),动作射击,2025/08/16,南京爱拉风软件有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.wlzz.hap.huawei
城市超跑挑战赛,手机和平板,角色扮演,2025/08/16,厦门市冰天信息科技有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.cscptzs.huawei
侠盗都市猎手,手机和平板,角色扮演,2025/08/16,厦门市冰天信息科技有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.xddsls.huawei
模拟矿工挖矿,手机和平板,休闲益智,2025/08/16,厦门市冰天信息科技有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.mnkgwk.huawei
我钓鱼贼溜老年版,手机(平板可下载),休闲益智,2025/08/15,深圳乐玩互动信息技术有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lw.wdyzllnbhm.huawei
模拟人生小姐姐冒险,手机(平板可下载),休闲益智,2025/08/15,深圳乐玩互动信息技术有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lw.mnrsxjjmxhm.huawei
山地暴力摩托达人,手机(平板可下载),体育竞速,2025/08/15,深圳乐玩互动信息技术有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwa.sdblmtdrhm.huawei
儿童钢琴乐园,手机(平板可下载),经营策略,2025/08/15,厦门梅普露网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.babypiano.huawei
地狱少女,手机(平板可下载),休闲益智,2025/08/15,厦门梅普露网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.diyusn.huawei
最强大逃亡,手机(平板可下载),休闲益智,2025/08/15,南京米豆游信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.zqdtw.huawei
植物养成大战,手机(平板可下载),休闲益智,2025/08/15,南京米豆游信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.zwyczdz.hap.huawei
保龄球挑战,手机(平板可下载),体育竞速,2025/08/15,南京米豆游信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.blqtz.huawei
模拟停车3D,手机(平板可下载),休闲益智,2025/08/15,南京米豆游信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.mntc3d.hap.huawei
可爱贴纸世界,手机(平板可下载),休闲益智,2025/08/15,厦门喵卡龙网络科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.mkl.keaitzsj.huawei
守护气球,手机(平板可下载),休闲益智,2025/08/15,南京兄游信息科技有限公司,08/18新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.shqq.hap.huawei
精灵盛典：黎明,手机和平板,角色扮演,2025/08/15,安徽三七网络科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ahsq.jlsdlm.sysqharmony
抓住木棍人,手机(平板可下载),休闲益智,2025/08/15,深圳市掌动无限科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zdwx.zzmgr.app.huawei
变异恐龙模拟器,手机(平板可下载),休闲益智,2025/08/15,南京乐游互娱科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wshr.byklmnqhm.huawei
变异机甲战神,手机(平板可下载),休闲益智,2025/08/15,南京乐游互娱科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wshr.byjjzshm.huawei
猫咪公主乐园,手机(平板可下载),休闲益智,2025/08/15,厦门梅普露网络科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.catgzly.huawei
超级足球杯,手机(平板可下载),经营策略,2025/08/15,南京米豆游信息科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.cjzqb.hap.huawei
节奏跑酷,手机(平板可下载),休闲益智,2025/08/15,深圳市益欣网络科技有限公司,08/17新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xplay.zjjz.hm.huawei
蛇行王,手机(平板可下载),休闲益智,2025/08/15,南京山羊软件技术有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.sxw.hap.huawei
疯狂矿工,手机(平板可下载),休闲益智,2025/08/15,南京山羊软件技术有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.fkkg.hap.huawei
一笔连珠,手机(平板可下载),休闲益智,2025/08/15,南京山羊软件技术有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.goat.yblz.hap.huawei
谁有眼力见,手机(平板可下载),休闲益智,2025/08/15,深圳月升沧海信息技术有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ysch.syyljhm.huawei
梦想改造大师,手机(平板可下载),休闲益智,2025/08/15,深圳月升沧海信息技术有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.mxgzdshm.huawei
全民拼图大赛,手机(平板可下载),休闲益智,2025/08/15,深圳月升沧海信息技术有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ysch.qmptdshm.huawei
隐秘的选择,手机(平板可下载),休闲益智,2025/08/15,深圳月升沧海信息技术有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.ymdxzhm.huawei
宝石乐消消,手机(平板可下载),休闲益智,2025/08/15,深圳无界互娱网络有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sgb.bsxxlhmhm.huawei
公主爱化妆,手机(平板可下载),休闲益智,2025/08/15,深圳无界互娱网络有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wfc.gzahzhm.huawei
我的疯狂进化论,手机(平板可下载),休闲益智,2025/08/15,深圳无界互娱网络有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.wdfkjhlhm.huawei
最强脑点子,手机(平板可下载),休闲益智,2025/08/15,深圳无界互娱网络有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.zqndzhm.huawei
帮我来找茬,手机(平板可下载),休闲益智,2025/08/15,深圳无界互娱网络有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.bwlzchmhm.huawei
脑洞要打开,手机(平板可下载),休闲益智,2025/08/15,深圳无界互娱网络有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.ndydkhm.huawei
这关你咋过,手机(平板可下载),休闲益智,2025/08/15,深圳无界互娱网络有限公司,08/16新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.zgnzghmhm.huawei
