应用名称,上架平台,应用类型,上架时间,开发者,备注,访问链接
自动滑屏精灵,手机(平板可下载),工具,2025/08/27,惠州市奕创科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yichuang.smartswiphos&channelId=SHARE
图片拼接器,手机(平板可下载),工具,2025/08/27,惠州市奕创科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hua.ycimagesplicerhos&channelId=SHARE
一键换底,手机(平板可下载),工具,2025/08/27,惠州市奕创科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hua.yconebackhos&channelId=SHARE
鼠标右键,手机(平板可下载),工具,2025/08/27,惠州市奕创科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yichuang.appmousehos&channelId=SHARE
皮诺曹测谎,手机(平板可下载),休闲娱乐,2025/08/27,中软国际科技服务有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.cehuangzhushou&channelId=SHARE
超级闪灯,手机(平板可下载),工具,2025/08/27,中软国际科技服务有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.mianfeijuqiangshoudiantong&channelId=SHARE
票聚,手机(平板可下载),工具,2025/08/26,张家港市昱俊铖科技有限公司,09/05新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zjgsyjc.invoicingassistantapp&channelId=SHARE&source=appshare
宝贝成长记事,手机和平板,工具,2025/08/26,李松,09/03新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=bbxgjl.hm.huawei&channelId=SHARE&source=appshare
宝宝听世界,手机(平板可下载),儿童,2025/08/26,广州米众信息科技有限公司,09/01新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mizhongtech.bbword.moh&channelId=SHARE
膳食养生助手,手机和平板,运动健康,2025/08/26,南京鸢尾蓝网络科技有限公司,09/01新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iris.hme&channelId=SHARE
亲密渡,手机和平板,社交,2025/08/26,章磊,09/01新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.leiapps.lovevoyage&channelId=SHARE
专业篮球赛计分统计,手机和平板,工具,2025/08/26,薛智文,08/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.pro.basketballscore&channelId=SHARE
字体精选,手机、平板和电脑,工具,2025/08/26,辽宁宸译科技有限公司,08/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenyi.fontlibrary&channelId=SHARE
CET6单词拼写,手机(平板可下载),教育,2025/08/26,厦门众思量科技有限公司,08/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hos.cet6&channelId=SHARE
加密解码密钥工厂,手机和平板,工具,2025/08/26,薛智文,08/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiamijiemamiyaogongchang.xuezhiwe&channelId=SHARE
公考题库天天练,手机和平板,教育,2025/08/26,刘翔宇,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=entry.default.unsigneds&channelId=SHARE
三角函数计算器,手机和平板,工具,2025/08/26,武汉柒号教室科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.sanjiaohanshuhm&channelId=SHARE
篮球羽毛球记分器,手机和平板,工具,2025/08/26,武汉柒号教室科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.lanqiujifenqihm&channelId=SHARE
诗情画意,手机(平板可下载),教育,2025/08/26,杭州轻思网络科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=hmos.shiwenweb.sqhy&channelId=SHARE
鸿蒙生态创新中心展厅,手机和平板,资讯,2025/08/26,鸿蒙生态服务（深圳）有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.spark.harmonyinnovationgallery&channelId=SHARE
有句英典,手机(平板可下载),教育,2025/08/26,周志杰,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zj.learn&channelId=SHARE
拼音大师,手机(平板可下载),教育,2025/08/26,武汉曼衍科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.whmanyan.pinyindashi&channelId=SHARE
宠汪大辞典,手机(平板可下载),工具,2025/08/26,泉州丰泽邦邦两拳科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.QZFZ.BBLQ.WangChongDaCiDian&channelId=SHARE
光影笔记,手机、平板和电脑,商务,2025/08/26,广州云钛科技有限责任公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ytkj.dairy&channelId=SHARE
轻阅,手机(平板可下载),阅读与工具书,2025/08/26,侯沅军,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.QingYue&channelId=SHARE
实时查公交车,手机(平板可下载),出行导航,2025/08/26,南京智喵科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.acpmlz.rfunpwpi&channelId=SHARE
君品荟,手机(平板可下载),购物,2025/08/26,贵州习酒电子商务信息产业有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.exijiu.junpinhuihm&channelId=SHARE
全能王手机扫描仪,手机(平板可下载),工具,2025/08/26,成都琉森湖科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.liusenhu.saomiaohm&channelId=SHARE
掌上本草之源,手机(平板可下载),工具,2025/08/26,深圳麦恋网络科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mailian8.hmapp&channelId=SHARE
启色,手机(平板可下载),工具,2025/08/26,罗展辉,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qisecolor.mobile&channelId=SHARE
声波情绪调节器,手机(平板可下载),工具,2025/08/26,北京蓝海智潮科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cn.lhiai.sound_wave_regulator&channelId=SHARE
UrlScheme助手,手机(平板可下载),工具,2025/08/26,珠海昇落科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shengluo.slurlschemehos&channelId=SHARE
Umiibo,手机和平板,工具,2025/08/26,郑州佩贤网络科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.eilgnaw.umiiboh&channelId=SHARE
灵犀AI闪记,手机(平板可下载),工具,2025/08/26,北京龙云科技集团股份有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.longyun.ainote&channelId=SHARE
HP FEC,手机和平板,工具,2025/08/26,惠普贸易(上海)有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hp.fecharmony.china&channelId=SHARE
樱花校园主题壁纸,手机(平板可下载),工具,2025/08/26,贵阳恒芮通科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=shihua.acter.feusaa&channelId=SHARE
数学公式本,手机和平板,工具,2025/08/26,梁迪宏,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xingyueldh.mathtool&channelId=SHARE
我的会员卡,手机(平板可下载),工具,2025/08/26,张越,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.wodehuiyuanka.com&channelId=SHARE
图片悬浮助手,手机(平板可下载),工具,2025/08/26,惠州市速点科技有限公司,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sudian.sdfloatphotohos&channelId=SHARE
电工安全天天练,手机和平板,商务,2025/08/26,刘翔宇,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=conm.sss.rrrr&channelId=SHARE
赛博冰箱-食物保鲜管理,手机(平板可下载),效率,2025/08/26,季怀奇,08/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fantasywind.cyberfridge&channelId=SHARE
宠物翻译器铲屎官,手机和平板,休闲娱乐,2025/08/26,上海宋和悌网络科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=songheti.translate.pethm&channelId=SHARE
GOSKI去滑雪,手机(平板可下载),运动健康,2025/08/26,北京自然力量科技贸易发展有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.goski.goskihm&channelId=SHARE
银联商务,手机和平板,商务,2025/08/26,银联商务支付股份有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinaums.hmonlineservice&channelId=SHARE
大学编程导航,手机(平板可下载),教育,2025/08/26,王洪雨,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.daxuebiancheng&channelId=SHARE
收货路记,手机(平板可下载),工具,2025/08/26,王洪雨,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.shouhuo&channelId=SHARE
电趣研究所,手机(平板可下载),教育,2025/08/26,王洪雨,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.dian&channelId=SHARE
探路,手机和平板,出行导航,2025/08/26,北京才牛图科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=net.beido.hmtheway&channelId=SHARE
亲疏一算通,手机(平板可下载),工具,2025/08/26,陆阳,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ly.kinship&channelId=SHARE
Posterly图创,手机(平板可下载),工具,2025/08/26,天津智戟科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zj.posterly&channelId=SHARE
数据监控悬浮球,手机(平板可下载),工具,2025/08/26,惠州市奕创科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yichuang.ycfloatdatahos&channelId=SHARE
保质期管家,手机(平板可下载),工具,2025/08/26,惠州市奕创科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yichuang.ycoffdatetoolhos&channelId=SHARE
拍照测量尺寸,手机(平板可下载),工具,2025/08/26,惠州市优奕科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.youyi.yychecksizehos&channelId=SHARE
减肥爱记,手机(平板可下载),运动健康,2025/08/26,中软国际科技服务有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.weightlossmemories&channelId=SHARE
SQL教程,手机和平板,教育,2025/08/26,武汉柒号教室科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.sqljiaocheng&channelId=SHARE
不熬夜,手机和平板,工具,2025/08/26,刘宁波,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jieaoye.app&channelId=SHARE
三体模拟器,手机、平板和电脑,工具,2025/08/26,丁姜齐,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.threebody&channelId=SHARE
小明连点器,手机(平板可下载),工具,2025/08/26,珠海市木霖科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mulin.mlxiaomingclickhos&channelId=SHARE
法语学习助手,手机和平板,教育,2025/08/25,李昊,08/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.suye.fyxxzs&channelId=SHARE
随账-点餐宝,手机和平板,美食,2025/08/25,广州光芸科技有限公司,08/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.gyuntech.catering&channelId=SHARE
随机数字,手机、平板和电脑,工具,2025/08/25,辽宁鲲鹏科技有限公司,08/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kunpenglife.myapplication&channelId=SHARE
正招标,手机(平板可下载),资讯,2025/08/25,上海汴正信息技术有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.bz.zhengzhaobiao&channelId=SHARE
安宁哨兵,手机(平板可下载),工具,2025/08/25,软通动力信息技术（集团）股份有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.isoftstone.anningshaobing&channelId=SHARE
化学能手,手机(平板可下载),教育,2025/08/25,王洪雨,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.huaxue&channelId=SHARE
英语奇妙学习,手机(平板可下载),教育,2025/08/25,王洪雨,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.yingyu&channelId=SHARE
HAM模拟考试,手机(平板可下载),教育,2025/08/25,兰州新区鲜艺网络科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.94xy.ham&channelId=SHARE
万年历老历,手机(平板可下载),生活服务,2025/08/25,辽宁奇思科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qisi.oldcalendar&channelId=SHARE
指尖气美,手机(平板可下载),工具,2025/08/25,王浩林,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.companion_time_box&channelId=SHARE
始末,手机(平板可下载),工具,2025/08/25,尹春德,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.abouttime.todo&channelId=SHARE
珍爱时间,手机(平板可下载),工具,2025/08/25,中软国际科技服务有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.cherishtime&channelId=SHARE
速压专家,手机(平板可下载),拍摄美化,2025/08/25,中软国际科技服务有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.rapidpressureexpert&channelId=SHARE
订阅宝,手机和平板,工具,2025/08/25,何青,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.aicloud.subsaver&channelId=SHARE
正则过滤器,手机(平板可下载),工具,2025/08/25,惠州市奕创科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yichuang.ycregextoolhos&channelId=SHARE
自定义手势控制,手机(平板可下载),工具,2025/08/25,惠州市优奕科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.youyi.definehandhos&channelId=SHARE
二维码批处理,手机(平板可下载),工具,2025/08/25,惠州市优奕科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hua.yyqrbatchhos&channelId=SHARE
快速随机数,手机(平板可下载),工具,2025/08/25,惠州市优奕科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hua.yyfastrandomhos&channelId=SHARE
老人简洁桌面,手机(平板可下载),工具,2025/08/25,惠州市优奕科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hua.yysimpletophos&channelId=SHARE
万算王全能计算器加强版,手机(平板可下载),工具,2025/08/25,广州策翁企业管理咨询有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ceweng.calculator.hw&channelId=SHARE
月汐日记,手机(平板可下载),工具,2025/08/25,北京故辰科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.whisper.har.lunacare&channelId=SHARE
虫虫吉他,手机和平板,音乐,2025/08/25,上海凌灼信息科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lzjoy.ccguitar&channelId=SHARE
百词斩雅思,手机和平板,教育,2025/08/25,成都超爱学习科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.baicizhan.ielts.ielts_app&channelId=SHARE
格式转换专家,手机和平板,拍摄美化,2025/08/25,四川荣汇富科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.gszh.app&channelId=SHARE
沩来,手机(平板可下载),运动健康,2025/08/25,浙江大沩人工智能科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.daweiai.har.daweifuture&channelId=SHARE
五林五子棋,手机和平板,体育,2025/08/25,成都魔笛科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.magicflute.renjuworld.hm&channelId=SHARE
展途,手机和平板,工具,2025/08/25,银联数据服务有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cupdata.sugarApp.HRelease&channelId=SHARE
手机键盘皮肤,手机(平板可下载),工具,2025/08/25,沈阳妙想科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mx.phoneskin&channelId=SHARE
五十音日语七天速成,手机(平板可下载),教育,2025/08/25,贺楠楠,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.wushiyin.hormonyOS&channelId=SHARE
三国华容道,手机和平板,教育,2025/08/25,广州亿书科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.openios.chatgbt&channelId=SHARE
乘法口诀表大全,手机和平板,教育,2025/08/25,武汉柒号教室科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.chengfakoujuehm&channelId=SHARE
鱼类识别,手机和平板,工具,2025/08/25,武汉柒号教室科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.yuleishibiehm&channelId=SHARE
汽配宝典,手机和平板,汽车,2025/08/25,温金辉,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhengyi.AutoParts_Bible&channelId=SHARE
小确忆,手机(平板可下载),拍摄美化,2025/08/25,福州九匠科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiujiang.xiaoqueyi&channelId=SHARE
韭研公社,手机(平板可下载),社交,2025/08/25,上海韭研信息科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiuyangongshe.hm&channelId=SHARE
宠物通,手机(平板可下载),工具,2025/08/25,熊宇航,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.petmastery&channelId=SHARE
Excel表格编辑手机版,手机和平板,商务,2025/08/25,济宁辉鸿网络科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ypnet.xlsxhm&channelId=SHARE
相伴,手机和平板,工具,2025/08/25,刘宁波,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xiangbanshiguang.app&channelId=SHARE
每日60秒读懂世界,手机和平板,工具,2025/08/25,南昌凌侠科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.authbox.zaobao&channelId=SHARE
VatHome,手机、平板和电脑,工具,2025/08/25,郭挺劲,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ericple.vathome&channelId=SHARE
诗迷闯关,手机(平板可下载),工具,2025/08/25,西安暴风城网络科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.shimi&channelId=SHARE
易管项目,手机、平板和电脑,工具,2025/08/25,刘家瑞,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=sixjerries.xiangmuguanli.com&channelId=SHARE
定时截屏助手,手机(平板可下载),工具,2025/08/25,湖北梓铭科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhiming.xzmtimecuthos&channelId=SHARE
投屏小助手,手机(平板可下载),工具,2025/08/25,湖北梓铭科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhiming.xzmscreensharehos&channelId=SHARE
文本替换助手,手机(平板可下载),工具,2025/08/25,珠海市木霖科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mulin.mltexttoolhos&channelId=SHARE
自动翻书器,手机(平板可下载),工具,2025/08/25,珠海市木霖科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mulin.mlautoreadhos&channelId=SHARE
小天精灵,手机和平板,商务,2025/08/25,大连华天软件有限公司,,https://appgallery.huawei.com/app/detail?id=com.oa8000.hormony.oa&channelId=SHARE
摩斯码输入法,手机和平板,工具,2025/08/25,孔维鹏,MeoW友 fu** 提供,https://appgallery.huawei.com/app/detail?id=cool.making.morseinput&channelId=SHARE
开源阅读,手机(平板可下载),阅读与工具书,2025/08/25,彭海涛,群友 Clumsy。 提供,https://appgallery.huawei.com/app/detail?id=com.legado.app&channelId=SHARE
柒号色卡,手机和平板,工具,2025/08/25,武汉柒号教室科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luoyuhm.qihaoseka&channelId=SHARE
历史趣学,手机(平板可下载),教育,2025/08/25,王洪雨,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.lishi&channelId=SHARE
RSS订阅器,手机(平板可下载),工具,2025/08/25,赖基华,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=run.oldbird.rss&channelId=SHARE
新鲜日记,手机和平板,效率,2025/08/25,丁姜齐,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.freshnote&channelId=SHARE
快捷输入面板,手机(平板可下载),工具,2025/08/25,中山市星朗网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xinglang.shquickinputhos&channelId=SHARE
一键做计划,手机(平板可下载),工具,2025/08/25,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shengluo.planhos&channelId=SHARE
一键识码,手机(平板可下载),工具,2025/08/25,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luo.onecodehos&channelId=SHARE
做题遮挡器,手机(平板可下载),工具,2025/08/25,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luo.questionstriphos&channelId=SHARE
文字图生成,手机(平板可下载),工具,2025/08/25,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luo.textgeneratehos&channelId=SHARE
防盗水印,手机(平板可下载),工具,2025/08/25,珠海昇落科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luo.antiwatermarkshos&channelId=SHARE
花草植物助手,手机,工具,2025/08/25,运城市盐湖区沧海网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sxcanghai.plant.hm&channelId=SHARE
轻笺墨,手机、平板和电脑,工具,2025/08/25,张智翔,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=qing.qian.com&channelId=SHARE
万能计时器,手机(平板可下载),工具,2025/08/25,惠州市速点科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sudian.timerhos&channelId=SHARE
记忆力提高训练,手机(平板可下载),工具,2025/08/25,惠州市速点科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sudian.memoryhos&channelId=SHARE
商品出入库系统,手机(平板可下载),工具,2025/08/25,惠州市速点科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sudian.sdscantoolhos&channelId=SHARE
警兔护航,手机(平板可下载),旅游,2025/08/25,广州市嘉妮软件有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jianisoft.jingtuhuhang&channelId=SHARE
宝宝物品手账,手机(平板可下载),工具,2025/08/25,张颖旋,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kathy.babybook&channelId=SHARE
屏幕点击录制器,手机(平板可下载),工具,2025/08/25,中山市柒幺柒智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qiyaoqi.badclickrecorderhos&channelId=SHARE
浮动图片,手机(平板可下载),工具,2025/08/25,中山市柒幺柒智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qiyaoqi.badfloatimghos&channelId=SHARE
双击扫一扫,手机(平板可下载),工具,2025/08/25,中山市柒幺柒智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.badnew.baddoublezxinghos&channelId=SHARE
自动滑屏器,手机(平板可下载),工具,2025/08/25,中山市柒幺柒智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.badnew.badautoswipehos&channelId=SHARE
PDF标注工具,手机(平板可下载),工具,2025/08/25,中山市柒幺柒智能科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qiyaoqi.badpdfmarkhos&channelId=SHARE
工地计算器,手机和平板,工具,2025/08/25,南京鸢尾蓝网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iris.construction&channelId=SHARE
网工随身算,手机和平板,工具,2025/08/25,南京鸢尾蓝网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iris.net&channelId=SHARE
养老金计算,手机(平板可下载),工具,2025/08/25,广州洋海网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ocnet.hm.yljjs&channelId=SHARE
万能连点器,手机(平板可下载),工具,2025/08/25,广州洋海网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ocnet.hm.autoclicker&channelId=SHARE
共创PDF转换器,手机和平板,工具,2025/08/25,厦门风云共创网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fengyun.app18&channelId=SHARE
番茄专注,手机和平板,效率,2025/08/25,厦门风云共创网络科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fengyun.app27&channelId=SHARE
智能时间胶囊,手机(平板可下载),工具,2025/08/25,北京蓝海智潮科技有限公司,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cn.lhiai.timecapsule&channelId=SHARE
东方实习律师题库,手机(平板可下载),教育,2025/08/25,张越,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.shixilvshi.com&channelId=SHARE
实用劳动法,手机(平板可下载),商务,2025/08/25,张越,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.shiyonglaodongfa.com&channelId=SHARE
物品盒子,手机(平板可下载),工具,2025/08/25,张越,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.wupinhezi.com&channelId=SHARE
拍照输入助手,手机(平板可下载),工具,2025/08/24,惠州市奕创科技有限公司,08/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yichuang.yccamerainputhos&channelId=SHARE
4923乐园,手机(平板可下载),工具,2025/08/24,长沙晨语莱信息技术有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cylxx.lyuh.vtrks&channelId=SHARE
湛云办公,手机(平板可下载),商务,2025/08/24,广东易臣信息技术有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ecinc.zjyoa&channelId=SHARE
图片滑动删除器,手机(平板可下载),工具,2025/08/24,湖北梓铭科技有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhiming.xiazmswipdelhos&channelId=SHARE
电子简历制作,手机(平板可下载),工具,2025/08/24,广西维德计算机系统有限公司,08/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=layo.bati.exij&channelId=SHARE
中英谐音转换器,手机、平板和电脑,工具,2025/08/24,丁姜齐,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.pronunciationconverter&channelId=SHARE
简约时钟,手机和平板,工具,2025/08/24,杨潇宇,08/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.github.littlefish0403.jianyueclock&channelId=SHARE
